INDEX	DATE	PRODUCT	QTY_KL	COST_INR	INVOICE_NO	TRUCK_NO	OCR_DISCREPANCY_FLAGS
48	2026-05-19	Petrol	8	368769.0	20271328014621	RJ19GF3914	item total from ocr_total_line; invoice total unclear; original OCR note: missing quantity_kl; missing rate_per_kl; missing material_total
49	2026-05-21	Diesel	12	1106307.01	20271323015219		time unclear; TT/truck number unclear; invoice total unclear; original OCR note: missing time; missing tt_number; bill total calculated from item totals; bottom total OCR unclear
50	2026-05-23	Diesel	12	1147347.8	202753238018072	RJ19GF3914	invoice total unclear; original OCR note: missing sap_entry_no; bill total calculated from item totals; bottom total OCR unclear
51	2026-05-26	Diesel	12	1149871.16	202713238017921	RJ19GF3914	item total from ocr_total_line; bill total from ocr_column; original OCR note: missing material_total
52	2026-05-29	Diesel	8			RJ19GF3914	material total unclear; invoice total unclear; original OCR note: missing material_total
53	2026-05-29	Petrol	4	437101.09		RJ19GF3914	invoice total unclear
54	2026-06-02	Diesel	12	1149871.16	20271323019819	RJ19GF3914	
55	2026-06-05	Petrol	12	1311303.27	20271323020642	RJ19GF3914	quantity 12 KL corrected from OCR; item total from visual_verified; bill total from visual_verified; original OCR note: No EBMS/HSD material row found by OCR
56	2026-06-11	Diesel	12	1149871.16	20271323022121	AJ19GF3914	TT/truck number unclear; invoice total unclear; bill total calculated from item totals; bottom total OCR unclear
57	2026-06-18	Diesel	8		20271323023907	RJ19GF3914	material total unclear; invoice total unclear; original OCR note: missing material_total
58	2026-06-18	Petrol	4	437107.09	20271323023907	RJ19GF3914	invoice total unclear
59	2026-06-24	Petrol	4	437101.09	20271323025482	RJ19GF3914	invoice total unclear; bill total calculated from item totals; bottom total OCR unclear
